Domain,Base Domain,SSLv2,SSLv3,TLSv1.0,TLSv1.1,TLSv1.2,Any Forward Secrecy,All Forward Secrecy,Weakest DH Group Size,Any RC4,All RC4,OCSP Stapling,Key Type,Key Length,Signature Algorithm,SHA-1 in Served Chain,Not Before,Not After,Highest Served Issuer,Errors
18f.gov,18f.gov,False,False,True,True,True,True,False,4096,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-15 00:00:00+00:00,2016-04-14 23:59:59+00:00,AddTrust External CA Root,
abandonedmines.gov,abandonedmines.gov,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-11-21 14:42:17+00:00,2015-10-16 15:00:24+00:00,GlobalSign Root CA,
abmc.gov,abmc.gov,False,False,True,True,True,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-02-09 00:00:00+00:00,2016-04-06 23:59:59+00:00,thawte Primary Root CA - G3,
access-board.gov,access-board.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-03-02 00:00:00+00:00,2016-05-19 12:00:00+00:00,DigiCert High Assurance EV Root CA,
acquisition.gov,acquisition.gov,False,False,True,True,True,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-20 00:00:00+00:00,2016-04-02 23:59:59+00:00,Symantec Class 3 Secure Server CA - G4,
acus.gov,acus.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-01-26 14:51:43+00:00,2017-10-16 19:44:42+00:00,Go Daddy Class 2 Certification Authority,
admongo.gov,admongo.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-17 00:00:00+00:00,2016-11-15 23:59:59+00:00,GeoTrust Global CA,
afadvantage.gov,afadvantage.gov,False,True,True,False,False,False,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-06-30 00:00:00+00:00,2016-08-01 23:59:59+00:00,Class 3 Public Primary Certification Authority,
aff.gov,aff.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-07-22 05:30:08+00:00,2018-10-21 08:25:59+00:00,GeoTrust Global CA,
afrh.gov,afrh.gov,False,False,True,False,False,False,False,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2013-05-17 00:00:00+00:00,2016-09-08 12:00:00+00:00,DigiCert High Assurance CA-3,
aids.gov,aids.gov,False,False,True,True,True,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-11-21 00:00:00+00:00,2017-11-29 12:00:00+00:00,DigiCert Global Root CA,
alertaenlinea.gov,alertaenlinea.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-17 00:00:00+00:00,2016-11-15 23:59:59+00:00,GeoTrust Global CA,
ama.gov,ama.gov,False,True,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2014-12-01 17:50:46+00:00,2017-12-02 10:05:06+00:00,Entrust.net Secure Server Certification Authority,
ameslab.gov,ameslab.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-03 00:00:00+00:00,2016-07-01 12:00:00+00:00,DigiCert Global Root CA,
amtrakoig.gov,amtrakoig.gov,False,True,True,True,True,True,False,2048,True,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-22 20:12:29+00:00,2016-04-22 20:12:29+00:00,GlobalSign Root CA,
anl.gov,anl.gov,False,False,True,False,True,False,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-07-22 00:00:00+00:00,2017-08-20 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
aoc.gov,aoc.gov,False,False,True,True,True,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-05-07 21:08:13+00:00,2016-05-06 04:27:24+00:00,Entrust Root Certification Authority,
applicationmanager.gov,applicationmanager.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-08-07 00:00:00+00:00,2016-04-09 23:59:59+00:00,GeoTrust Global CA,
archives.gov,archives.gov,False,True,True,True,True,True,False,2048,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-09-03 00:00:00+00:00,2016-07-23 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
arm.gov,arm.gov,False,False,True,True,True,True,True,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-08-24 22:42:18+00:00,2017-03-26 13:52:31+00:00,Entrust Root Certification Authority - G2,
arts.gov,arts.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,1024,sha1WithRSAEncryption,True,2009-09-02 21:02:00+00:00,2010-09-02 21:02:00+00:00,acquia.com,
asap.gov,asap.gov,False,True,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2014-12-01 17:50:20+00:00,2017-12-02 01:32:22+00:00,Entrust.net Secure Server Certification Authority,
asc.gov,asc.gov,False,False,True,False,False,True,False,,True,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-11-19 07:36:47+00:00,2017-11-21 13:03:43+00:00,GeoTrust Global CA,
astrongmiddleclass.gov,astrongmiddleclass.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-06-09 02:58:16+00:00,2016-04-16 17:25:42+00:00,GeoTrust Global CA,
atf.gov,atf.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-07 16:54:13+00:00,2016-04-09 08:06:32+00:00,GeoTrust Global CA,
aviationweather.gov,aviationweather.gov,False,False,True,False,False,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-05-07 00:00:00+00:00,2016-05-06 23:59:59+00:00,AddTrust External CA Root,
banknet.gov,banknet.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2013-11-26 00:00:00+00:00,2015-11-29 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
bea.gov,bea.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-09-17 00:00:00+00:00,2016-01-06 23:59:59+00:00,Equifax Secure Certificate Authority,
bfelob.gov,bfelob.gov,False,False,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-12-05 20:14:33+00:00,2016-07-02 11:04:51+00:00,Entrust Root Certification Authority,
bfem.gov,bfem.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-08-12 18:00:08+00:00,2017-08-12 19:58:34+00:00,Entrust Root Certification Authority - G2,
bioethics.gov,bioethics.gov,False,True,True,True,True,True,False,2048,True,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-05-20 12:27:08+00:00,2015-05-21 02:56:02+00:00,Federal Common Policy CA,
biopreferred.gov,biopreferred.gov,False,True,True,False,False,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-07-24 20:09:44+00:00,2016-07-23 20:09:44+00:00,USDA NITC Issuing CA,
bja.gov,bja.gov,True,True,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-01-15 00:00:00+00:00,2016-03-31 12:00:00+00:00,DigiCert Global Root CA,
blm.gov,blm.gov,False,False,True,False,False,False,False,,True,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-08-26 00:00:00+00:00,2016-08-26 23:59:59+00:00,Class 3 Public Primary Certification Authority,
bnl.gov,bnl.gov,False,False,True,False,False,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-07-28 12:41:02+00:00,2018-07-28 12:41:02+00:00,GlobalSign Root CA,
bop.gov,bop.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2014-08-13 00:00:00+00:00,2017-08-17 12:00:00+00:00,DigiCert Global Root CA,
bpa.gov,bpa.gov,False,True,True,True,False,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-07-28 20:32:12+00:00,2018-07-29 06:18:02+00:00,Entrust Root Certification Authority - G2,
broadbandmap.gov,broadbandmap.gov,False,False,True,True,True,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-30 22:53:36+00:00,2016-05-02 04:55:28+00:00,Entrust Root Certification Authority,
bsee.gov,bsee.gov,False,False,False,False,False,,,,,,,,,,,,,,_nassl.OpenSSLError - error:14077458:SSL routines:SSL23_GET_SERVER_HELLO:tlsv1 unrecognized name
budget.gov,budget.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-06-09 02:58:16+00:00,2016-04-16 17:25:42+00:00,GeoTrust Global CA,
businessusa.gov,businessusa.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
buyaccessible.gov,buyaccessible.gov,True,True,True,False,False,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-10-30 00:00:00+00:00,2015-10-31 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
cao.gov,cao.gov,False,False,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-21 17:52:09+00:00,2016-09-26 21:47:20+00:00,Entrust Root Certification Authority,
capitol.gov,capitol.gov,False,True,True,True,True,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-05-18 21:16:31+00:00,2016-05-19 00:13:27+00:00,Entrust Root Certification Authority,
capnhq.gov,capnhq.gov,True,True,True,False,False,True,False,,True,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-28 00:00:00+00:00,2017-02-19 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
cbo.gov,cbo.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-03 17:07:36+00:00,2016-03-27 18:36:55+00:00,GeoTrust Primary Certification Authority - G3,
cbp.gov,cbp.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-24 00:00:00+00:00,2016-09-23 23:59:59+00:00,GeoTrust Global CA,
cdfifund.gov,cdfifund.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
census.gov,census.gov,False,True,True,False,True,False,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-05-04 00:00:00+00:00,2016-05-30 23:59:59+00:00,Class 3 Public Primary Certification Authority,
cfa.gov,cfa.gov,False,False,False,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-10-23 00:00:00+00:00,2017-10-27 12:00:00+00:00,DigiCert Global Root CA,
cfda.gov,cfda.gov,False,True,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-04-24 16:31:02+00:00,2016-04-29 02:00:49+00:00,Entrust.net Secure Server Certification Authority,
cfo.gov,cfo.gov,False,False,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-21 17:52:09+00:00,2016-09-26 21:47:20+00:00,Entrust Root Certification Authority,
cftc.gov,cftc.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,4096,sha256WithRSAEncryption,False,2015-09-21 13:03:53+00:00,2016-07-20 01:01:01+00:00,Entrust Root Certification Authority,
challenge.gov,challenge.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
chcoc.gov,chcoc.gov,False,False,True,True,True,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-06-17 15:23:16+00:00,2018-09-17 04:49:37+00:00,Entrust Root Certification Authority,
childwelfare.gov,childwelfare.gov,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-01-27 00:00:00+00:00,2017-02-17 12:00:00+00:00,DigiCert Global Root CA,
chinacommission.gov,chinacommission.gov,False,True,True,False,False,True,False,2048,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-07-09 00:00:00+00:00,2018-07-13 12:00:00+00:00,DigiCert Global Root CA,
christophercolumbusfoundation.gov,christophercolumbusfoundation.gov,False,False,True,True,True,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-02-21 00:00:00+00:00,2017-03-29 23:59:59+00:00,AddTrust External CA Root,
cia.gov,cia.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-04-01 00:00:00+00:00,2016-04-11 23:59:59+00:00,Class 3 Public Primary Certification Authority,
cio.gov,cio.gov,False,False,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-08 21:41:10+00:00,2016-09-27 06:18:29+00:00,Entrust Root Certification Authority,
citizencorps.gov,citizencorps.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-24 00:00:00+00:00,2016-12-23 23:59:59+00:00,GeoTrust Global CA,
climate.gov,climate.gov,False,False,True,True,True,True,False,4096,False,False,False,rsaEncryption,4096,sha256WithRSAEncryption,False,2014-08-29 00:00:00+00:00,2016-09-02 12:00:00+00:00,DigiCert High Assurance EV Root CA,
clinicaltrials.gov,clinicaltrials.gov,False,False,True,True,True,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-03-06 00:00:00+00:00,2017-05-09 12:00:00+00:00,DigiCert Global Root CA,
cms.gov,cms.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-08-10 00:00:00+00:00,2016-07-06 23:59:59+00:00,GeoTrust Global CA,
cnss.gov,cnss.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-05-09 12:46:23+00:00,2017-05-09 12:46:23+00:00,DoD Root CA 2,
commerce.gov,commerce.gov,False,False,True,True,True,True,False,2048,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-03-10 00:00:00+00:00,2016-05-26 12:00:00+00:00,DigiCert Global Root CA,
complaintreferralexpress.gov,complaintreferralexpress.gov,True,True,True,False,False,True,False,,True,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-04-01 00:00:00+00:00,2016-04-01 23:59:59+00:00,VeriSign Class 3 International Server CA - G3,
computersforlearning.gov,computersforlearning.gov,False,False,True,True,True,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-03-16 00:00:00+00:00,2016-04-02 23:59:59+00:00,Class 3 Public Primary Certification Authority,
congress.gov,congress.gov,False,False,True,True,True,False,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-05-21 15:31:50+00:00,2018-05-21 23:39:15+00:00,Entrust Root Certification Authority,
connect.gov,connect.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
consumer.gov,consumer.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-17 00:00:00+00:00,2016-11-15 23:59:59+00:00,GeoTrust Global CA,
consumersentinel.gov,consumersentinel.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-02-12 00:00:00+00:00,2018-06-20 12:00:00+00:00,DigiCert Global Root CA,
consumidor.gov,consumidor.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-17 00:00:00+00:00,2016-11-15 23:59:59+00:00,GeoTrust Global CA,
contractdirectory.gov,contractdirectory.gov,False,True,True,False,True,False,False,,True,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-04-24 16:43:26+00:00,2016-04-29 10:19:40+00:00,Entrust.net Secure Server Certification Authority,
cpars.gov,cpars.gov,False,False,True,True,False,True,False,1024,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-06-18 18:16:09+00:00,2016-06-19 07:34:31+00:00,Entrust Certification Authority - L1E,
cpnireporting.gov,cpnireporting.gov,False,True,True,False,False,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2013-05-10 18:07:53+00:00,2016-05-10 18:37:53+00:00,US Treasury Root CA,
cpsc.gov,cpsc.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-24 00:00:00+00:00,2016-11-22 23:59:59+00:00,GeoTrust Global CA,
cuidadodesalud.gov,cuidadodesalud.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-10 00:00:00+00:00,2016-12-09 23:59:59+00:00,GeoTrust Global CA,
data.gov,data.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
denali.gov,denali.gov,False,True,True,True,True,True,False,2048,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-05-09 00:00:00+00:00,2017-03-12 23:59:59+00:00,USERTrust RSA Certification Authority,
dhs.gov,dhs.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-24 00:00:00+00:00,2016-09-23 23:59:59+00:00,GeoTrust Global CA,
digitalgov.gov,digitalgov.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
directoasucuenta.gov,directoasucuenta.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-07-21 18:07:40+00:00,2018-07-22 04:06:42+00:00,Entrust Root Certification Authority,
disability.gov,disability.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2013-11-26 00:00:00+00:00,2016-12-14 12:00:00+00:00,DigiCert Global Root CA,
disasterassistance.gov,disasterassistance.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-24 00:00:00+00:00,2016-09-23 23:59:59+00:00,GeoTrust Global CA,
docline.gov,docline.gov,False,False,True,True,True,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-09 14:04:00+00:00,2017-09-09 23:29:33+00:00,Entrust Root Certification Authority,
doi.gov,doi.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-06-15 00:00:00+00:00,2018-08-22 12:00:00+00:00,DigiCert High Assurance EV Root CA,
doioig.gov,doioig.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-07-02 00:00:00+00:00,2017-02-07 23:59:59+00:00,AddTrust External CA Root,
dol.gov,dol.gov,False,False,True,False,False,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-01-15 00:00:00+00:00,2017-03-07 12:00:00+00:00,DigiCert Global Root CA,
donotcall.gov,donotcall.gov,False,False,True,True,True,True,True,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2012-10-18 00:00:00+00:00,2016-01-10 12:00:00+00:00,DigiCert High Assurance EV Root CA,
dot.gov,dot.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-08 09:47:29+00:00,2016-06-09 17:25:48+00:00,GeoTrust Global CA,
dotgov.gov,dotgov.gov,False,False,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-01-09 00:00:00+00:00,2017-01-07 23:59:59+00:00,Class 3 Public Primary Certification Authority,
dotideahub.gov,dotideahub.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-08-25 20:13:22+00:00,2016-08-25 20:13:20+00:00,GTE CyberTrust Global Root,
drought.gov,drought.gov,False,False,True,True,True,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-08-26 00:00:00+00:00,2017-11-03 12:00:00+00:00,DigiCert Global Root CA,
drugabuse.gov,drugabuse.gov,False,False,True,True,True,True,False,4096,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-07-08 00:00:00+00:00,2018-07-12 12:00:00+00:00,DigiCert Global Root CA,
dsac.gov,dsac.gov,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha1WithRSAEncryption,True,2015-01-13 23:22:14+00:00,2015-10-17 23:08:05+00:00,GlobalSign Root CA,
eac.gov,eac.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2015-06-19 16:52:07+00:00,2016-06-19 16:52:05+00:00,GTE CyberTrust Global Root,
earmarks.gov,earmarks.gov,False,False,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-12-05 20:14:33+00:00,2016-07-02 11:04:51+00:00,Entrust Root Certification Authority,
economicinclusion.gov,economicinclusion.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-11-04 00:00:00+00:00,2016-09-09 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
ecpic.gov,ecpic.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
ecr.gov,ecr.gov,False,False,True,False,False,True,False,,False,False,True,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-10-02 00:00:00+00:00,2016-06-14 23:59:59+00:00,GeoTrust Global CA,
ed.gov,ed.gov,False,False,True,False,False,False,False,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-01-18 00:00:00+00:00,2016-01-19 23:59:59+00:00,Class 3 Public Primary Certification Authority,
edpubs.gov,edpubs.gov,True,True,True,False,False,True,False,,True,False,True,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-11-10 20:07:36+00:00,2015-11-15 02:39:21+00:00,Entrust.net Certification Authority (2048),
eftps.gov,eftps.gov,False,False,True,False,False,False,False,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-11-05 00:00:00+00:00,2016-01-19 23:59:59+00:00,Class 3 Public Primary Certification Authority,
egov.gov,egov.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-06-09 02:58:16+00:00,2016-04-16 17:25:42+00:00,GeoTrust Global CA,
eldercare.gov,eldercare.gov,False,True,True,True,True,True,False,1024,True,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-12-27 00:54:44+00:00,2015-12-24 04:01:18+00:00,Entrust Root Certification Authority,
employeeexpress.gov,employeeexpress.gov,False,False,True,False,False,True,False,,True,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2013-10-22 12:00:01+00:00,2016-06-29 12:00:00+00:00,DigiCert High Assurance EV Root CA,
empowhr.gov,empowhr.gov,False,False,True,False,True,False,False,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2012-03-27 18:42:15+00:00,2016-05-28 00:31:17+00:00,Entrust Certification Authority - L1C,
energycodes.gov,energycodes.gov,False,False,True,True,True,False,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2014-04-10 20:25:40+00:00,2016-06-11 07:30:28+00:00,Entrust.net Certification Authority (2048),
