Domain,Grade,Signature Algorithm,Key Type,Key Size,Forward Secrecy,OCSP Stapling,Fallback SCSV,RC4,SSLv3,TLSv1.2,SPDY,Requires SNI,HTTP/2
18f.gov,A+,SHA256withRSA,RSA,2048,4,False,True,False,False,True,True,True,False
abandonedmines.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
abandonedmines.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
abandonedmines.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
abandonedmines.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
abandonedmines.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
abmc.gov,B,SHA256withRSA,RSA,2048,1,False,True,True,False,True,False,False,False
access-board.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
acquisition.gov,B,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
acus.gov,A-,SHA256withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
afadvantage.gov,C,SHA1withRSA,RSA,2048,1,False,True,True,True,False,False,False,False
afadvantage.gov,C,SHA1withRSA,RSA,2048,1,False,True,True,True,False,False,False,False
aff.gov,B,SHA1withRSA,RSA,2048,4,False,False,True,False,True,False,False,False
aff.gov,B,SHA1withRSA,RSA,2048,4,False,False,True,False,True,False,False,False
afrh.gov,C,SHA1withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
aids.gov,A+,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
alertaenlinea.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
alertaenlinea.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
ama.gov,C,SHA256withRSA,RSA,2048,0,False,True,False,True,True,False,False,False
ameslab.gov,B,SHA256withRSA,RSA,2048,1,False,False,False,False,True,False,False,False
amtrakoig.gov,C,SHA256withRSA,RSA,2048,1,False,True,True,True,True,False,False,False
anl.gov,C,SHA1withRSA,RSA,2048,0,False,True,True,True,True,False,False,False
aoc.gov,A,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
applicationmanager.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
applicationmanager.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
arm.gov,A,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
asap.gov,C,SHA256withRSA,RSA,2048,0,False,True,False,True,True,False,False,False
asc.gov,C,SHA256withRSA,RSA,2048,0,True,N/A,True,False,False,False,False,False
astrongmiddleclass.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
astrongmiddleclass.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
atf.gov,A+,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
aviationweather.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,True,False,False,False,False,False
aviationweather.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,True,False,False,False,False,False
aviationweather.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,True,False,False,False,False,False
banknet.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,False,True,False,False,False
bea.gov,A-,SHA1withRSA,RSA,2048,0,False,False,False,False,True,False,False,False
bfem.gov,C,SHA256withRSA,RSA,2048,4,False,N/A,False,False,False,False,False,False
bioethics.gov,T,SHA1withRSA,RSA,2048,1,False,True,True,True,True,False,False,False
biopreferred.gov,T,SHA256withRSA,RSA,2048,1,False,False,True,True,False,False,False,False
bja.gov,F,SHA256withRSA,RSA,2048,4,False,True,True,True,True,False,False,False
bja.gov,F,SHA256withRSA,RSA,2048,4,False,True,True,True,True,False,False,False
blm.gov,C,SHA1withRSA,RSA,2048,0,False,N/A,True,False,False,False,False,False
bnl.gov,C,SHA1withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
bpa.gov,C,SHA1withRSA,RSA,2048,0,False,False,False,True,False,False,False,False
broadbandmap.gov,B,SHA256withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
bsee.gov,B,SHA256withRSA,RSA,2048,0,True,False,True,True,True,False,False,False
budget.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
budget.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
businessusa.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
buyaccessible.gov,F,SHA256withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
capitol.gov,C,SHA256withRSA,RSA,2048,1,False,True,False,True,True,False,True,False
capnhq.gov,C,SHA256withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
cbo.gov,B,SHA256withRSA,RSA,2048,1,False,False,False,False,True,False,False,False
cdfifund.gov,T,SHA256withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
census.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
cfa.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
cfda.gov,C,SHA1withRSA,RSA,2048,1,False,True,True,True,True,False,False,False
cftc.gov,B,SHA1withRSA,RSA,4096,2,True,False,False,False,True,False,False,False
challenge.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
challenge.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
challenge.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
chcoc.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
chcoc.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
childwelfare.gov,A,SHA256withRSA,RSA,2048,2,True,False,False,False,True,False,False,False
christophercolumbusfoundation.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
christophercolumbusfoundation.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,True,False
christophercolumbusfoundation.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
cia.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
cia.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
citizencorps.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
citizencorps.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
climate.gov,A,SHA256withRSA,RSA,4096,4,False,True,False,False,True,False,True,False
climate.gov,A,SHA256withRSA,RSA,4096,4,False,True,False,False,True,False,True,False
clinicaltrials.gov,B,SHA256withRSA,RSA,2048,1,False,True,True,False,True,False,False,False
clinicaltrials.gov,B,SHA256withRSA,RSA,2048,1,False,True,True,False,True,False,False,False
cms.gov,A-,SHA256withRSA,RSA,2048,0,False,False,False,False,True,False,False,False
cnss.gov,T,SHA1withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
commerce.gov,C,SHA256withRSA,RSA,2048,1,False,True,True,True,False,False,False,False
complaintreferralexpress.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
computersforlearning.gov,B,SHA256withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
congress.gov,C,SHA256withRSA,RSA,2048,0,False,False,True,False,True,False,False,False
connect.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
connect.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
connect.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
consumer.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
consumer.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
consumersentinel.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
consumidor.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
consumidor.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
contractdirectory.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,True,True,False,False,False
cpars.gov,C,SHA1withRSA,RSA,2048,1,False,True,False,False,False,False,False,False
cpnireporting.gov,T,SHA256withRSA,RSA,2048,1,False,False,True,True,False,False,False,False
cpsc.gov,B,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
crimesolutions.gov,C,SHA256withRSA,RSA,2048,0,False,False,True,False,True,False,False,False
crimesolutions.gov,T,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
cuidadodesalud.gov,A+,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
cuidadodesalud.gov,A+,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
data.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
data.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
data.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
denali.gov,C,SHA1withRSA,RSA,2048,1,False,True,True,True,True,False,False,False
dfafacts.gov,F,SHA1withRSA,RSA,1024,0,True,False,True,True,False,False,False,False
dhs.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
dhs.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
digitalgov.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
digitalgov.gov,C,SHA1withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
digitalgov.gov,C,SHA1withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
directoasucuenta.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,False,True,False,False,False
disability.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
disasterassistance.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
disasterassistance.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
docline.gov,B,SHA1withRSA,RSA,2048,4,False,True,True,False,True,False,False,False
doioig.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
dol.gov,C,SHA256withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
dol.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
donotcall.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
dot.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
dotgov.gov,B,SHA256withRSA,RSA,2048,1,False,True,True,False,True,False,False,False
dotideahub.gov,C,SHA256withRSA,RSA,2048,0,False,True,True,True,True,False,False,False
dotideahub.gov,B,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
drought.gov,A,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,True,False
drought.gov,A,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,True,False
drugabuse.gov,B,SHA256withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
drugabuse.gov,B,SHA256withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
dsac.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
dsac.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
dsac.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
dsac.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
dsac.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
eac.gov,A-,SHA256withRSA,RSA,2048,0,True,False,False,False,True,False,False,False
economicinclusion.gov,C,SHA256withRSA,RSA,2048,0,False,False,True,True,True,False,False,False
ecpic.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
ecpic.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
ecpic.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
ecr.gov,C,SHA1withRSA,RSA,2048,0,True,N/A,False,False,False,False,False,False
ed.gov,C,SHA1withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
edpubs.gov,F,SHA1withRSA,RSA,2048,0,True,False,True,True,False,False,False,False
eftps.gov,C,SHA1withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
eftps.gov,C,SHA1withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
egov.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
egov.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
eldercare.gov,C,SHA256withRSA,RSA,2048,2,True,False,True,True,True,False,False,False
employeeexpress.gov,C,SHA256withRSA,RSA,2048,0,True,N/A,True,False,False,False,False,False
empowhr.gov,B,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
energycodes.gov,B,SHA256withRSA,RSA,2048,0,False,False,True,False,True,False,False,False
energystar.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
eop.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
eop.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
esc.gov,B,SHA256withRSA,RSA,2048,2,False,True,True,False,True,False,False,False
esrs.gov,C,SHA1withRSA,RSA,2048,1,False,True,True,True,True,False,False,False
eta-find.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,False,True,False,False,False
ethics.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
ethics.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
faa.gov,B,SHA1withRSA,RSA,2048,2,False,True,True,False,True,False,False,False
faasafety.gov,B,SHA256withRSA,RSA,2048,2,False,True,True,False,True,False,False,False
faasafety.gov,C,SHA1withRSA,RSA,2048,2,True,False,True,True,True,False,False,False
faca.gov,B,SHA256withRSA,RSA,2048,0,True,False,True,False,True,False,False,False
fafsa.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,True,True,False,False,False
fafsa.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
fai.gov,F,SHA256withRSA,RSA,2048,1,False,True,True,True,True,False,False,False
fan.gov,B,SHA256withRSA,RSA,2048,4,False,True,True,False,True,False,False,False
fan.gov,B,SHA256withRSA,RSA,2048,4,False,True,True,False,True,False,False,False
fapiis.gov,C,SHA1withRSA,RSA,2048,1,False,True,False,False,False,False,False,False
fapiis.gov,C,SHA1withRSA,RSA,2048,1,False,True,False,False,False,False,False,False
farmerclaims.gov,C,SHA256withRSA,RSA,2048,0,False,False,False,True,False,False,False,False
fatherhood.gov,A+,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
fbi.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
fbi.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
fbi.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
fbi.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
fbi.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
fbiic.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
fbijobs.gov,B,SHA256withRSA,RSA,2048,1,False,False,False,False,True,False,False,False
fbo.gov,C,SHA1withRSA,RSA,2048,1,False,True,True,True,True,False,False,False
fbo.gov,C,SHA1withRSA,RSA,2048,1,False,True,True,True,True,False,False,False
fca.gov,B,SHA256withRSA,RSA,2048,2,True,False,True,True,True,False,False,False
fcc.gov,B,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
fdic.gov,A-,SHA1withRSA,RSA,2048,0,False,False,False,False,True,False,False,False
fdms.gov,B,SHA256withRSA,RSA,2048,2,False,False,True,False,True,False,False,False
fdr.gov,C,SHA256withRSA,RSA,2048,0,False,True,True,True,True,False,False,False
feb.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
feb.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
fedbizopps.gov,C,SHA1withRSA,RSA,2048,1,False,False,True,True,True,False,False,False
fedcenter.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
federaljobs.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
federalregister.gov,A+,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
federalreserve.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
federalreserveconsumerhelp.gov,C,SHA1withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
fedidcard.gov,C,SHA1withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
fedjobs.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
fedpartnership.gov,B,SHA256withRSA,RSA,2048,0,False,False,True,False,True,False,False,False
fedramp.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
fedramp.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,True,False
fedramp.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,True,False
fedreg.gov,F,SHA256withRSA,RSA,4096,0,False,False,True,True,False,False,False,False
feedthefuture.gov,A,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
fegli.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
fegli.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
fema.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
fema.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
femalefarmerclaims.gov,C,SHA256withRSA,RSA,2048,0,False,False,False,True,False,False,False,False
ferc.gov,A,SHA256withRSA,RSA,4096,2,False,True,False,False,True,False,False,False
ffiec.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
fgdc.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
fgdc.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
fhfa.gov,B,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
fhfa.gov,B,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
fido.gov,B,SHA256withRSA,RSA,2048,0,True,False,True,False,True,False,False,False
fincen.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,True,False,False,False,False,False
firecode.gov,C,SHA1withRSA,RSA,2048,0,True,N/A,False,False,False,False,False,False
firescience.gov,C,SHA1withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
firstrespondertraining.gov,B,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
fiscalcommission.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
fleta.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
fleta.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
fletc.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
fletc.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
flightschoolcandidates.gov,C,SHA1withRSA,RSA,2048,0,False,False,True,True,True,False,False,False
floodsmart.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
flra.gov,C,SHA1withRSA,RSA,2048,1,False,N/A,True,False,False,False,False,False
fmcs.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
fmi.gov,F,SHA256withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
fmshrc.gov,C,SHA256withRSA,RSA,4096,0,False,N/A,True,False,False,False,False,False
fnal.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,True,False,False,False,False,False
fpds.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,True,True,False,False,False
fsd.gov,F,SHA256withRSA,RSA,2048,0,False,False,True,False,True,False,False,False
fsgb.gov,B,SHA256withRSA,RSA,2048,0,False,False,True,True,True,False,False,False
fsrs.gov,C,SHA1withRSA,RSA,2048,1,False,True,True,True,True,False,False,False
ftc.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
ftc.gov,C,SHA256withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
ftccomplaintassistant.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
ftcefile.gov,A,SHA256withRSA,RSA,2048,2,True,False,False,False,True,False,False,False
fttesttwai.gov,T,SHA1withRSA,RSA,1024,0,False,True,False,True,True,False,False,False
fueleconomy.gov,B,SHA1withRSA,RSA,2048,0,False,False,True,True,True,False,False,False
fvap.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
fws.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
g5.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
gao.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
genome.gov,B,SHA256withRSA,RSA,2048,0,True,False,True,False,True,False,False,False
geoplatform.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
globalchange.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
globalchange.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
globe.gov,B,SHA1withRSA,RSA,2048,4,False,True,True,False,True,False,False,False
globe.gov,B,SHA1withRSA,RSA,2048,4,False,True,True,False,True,False,False,False
godirect.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,False,True,False,False,False
governmentjobs.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
govsales.gov,B,SHA1withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
grantsolutions.gov,B,SHA256withRSA,RSA,2048,1,False,True,True,False,True,False,False,False
gsaadvantage.gov,C,SHA1withRSA,RSA,2048,0,False,True,True,True,False,False,False,False
gsaadvantage.gov,C,SHA1withRSA,RSA,2048,0,False,True,True,True,False,False,False,False
gsaauctions.gov,B,SHA256withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
gsaig.gov,B,SHA256withRSA,RSA,2048,1,False,True,True,False,True,False,False,False
gsaxcess.gov,B,SHA256withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
guideline.gov,F,SHA256withRSA,RSA,2048,0,True,False,True,True,False,False,False,False
gwa.gov,C,SHA256withRSA,RSA,2048,0,False,True,False,True,True,False,False,False
healthcare.gov,A+,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
healthcare.gov,A+,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
healthdata.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
healthdata.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
healthfinder.gov,B,SHA1withRSA,RSA,2048,2,True,False,False,False,True,False,False,False
healthit.gov,B,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
healthit.gov,B,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
healthypeople.gov,B,SHA1withRSA,RSA,2048,1,False,True,True,False,True,False,False,False
hhs.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
hispanicfarmerclaims.gov,C,SHA256withRSA,RSA,2048,0,False,False,False,True,False,False,False,False
hiv.gov,A+,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
house.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
house.gov,F,SHA256withRSA,RSA,2048,0,False,False,True,False,True,False,False,False
howto.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
howto.gov,T,SHA1withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
howto.gov,T,SHA1withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
hru.gov,B,SHA256withRSA,RSA,2048,0,True,False,True,False,True,False,False,False
hsr.gov,B,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
hudoig.gov,B,SHA256withRSA,RSA,2048,4,False,True,True,False,True,False,False,False
hudoig.gov,B,SHA256withRSA,RSA,2048,4,False,True,True,False,True,False,False,False
